episode,reward,energy_kwh,cost,comfort_penalty,switching_events,no_action_pct,cool_low_pct,cool_medium_pct,cool_high_pct,precool_pct,reduce_hvac_pct,epsilon
261,-73.8774,5.62,0.0,74.4394,0,0.0,0.0,100.0,0.0,0.0,0.0,0.02
262,-3.0236,3.7913,0.0,3.2527,3,0.0,79.2,20.8,0.0,0.0,0.0,0.02
263,-5.8016,6.1158,3.6458,2.5944,2,0.0,0.0,79.2,16.7,4.2,0.0,0.02
264,-0.4718,4.0946,0.5208,0.0,7,0.0,70.8,0.0,20.8,0.0,8.3,0.02
265,-10.6656,1.0,0.0,10.7656,0,0.0,0.0,0.0,0.0,0.0,100.0,0.02
266,-7.0066,1.0,0.0,7.1066,0,0.0,0.0,0.0,0.0,0.0,100.0,0.02
267,-40.7475,6.3171,3.0556,37.8625,8,0.0,4.2,62.5,0.0,33.3,0.0,0.02
268,-3.3101,3.6017,0.2778,3.1869,4,0.0,91.7,4.2,0.0,4.2,0.0,0.02
269,-0.1211,1.0,0.0,0.1211,2,4.2,0.0,0.0,0.0,0.0,95.8,0.02
270,-122.8708,4.6575,0.0,123.2866,1,0.0,41.7,58.3,0.0,0.0,0.0,0.02
271,-4.8408,4.8529,0.0,5.0261,6,0.0,37.5,58.3,0.0,4.2,0.0,0.02
272,-12.5535,5.2554,0.7986,11.9645,6,4.2,37.5,29.2,0.0,29.2,0.0,0.02
273,-1.8199,1.77,0.0,1.6469,7,0.0,33.3,0.0,0.0,0.0,66.7,0.02
274,-21.7897,5.4275,0.0,22.2325,2,4.2,0.0,95.8,0.0,0.0,0.0,0.02
275,-104.1528,4.1763,0.0,104.5204,1,0.0,62.5,37.5,0.0,0.0,0.0,0.02
276,-42.7345,5.725,2.2917,40.8195,3,0.0,0.0,83.3,0.0,12.5,4.2,0.02
277,-58.4102,5.7192,0.0694,58.8113,2,0.0,0.0,95.8,0.0,4.2,0.0,0.02
278,-15.5334,5.62,0.0,16.0954,0,0.0,0.0,100.0,0.0,0.0,0.0,0.02
279,-19.855,1.2917,0.1736,19.6571,3,4.2,0.0,0.0,4.2,0.0,91.7,0.02
280,-88.802,3.31,0.0,89.133,0,0.0,100.0,0.0,0.0,0.0,0.0,0.02
281,-1.4944,3.3129,0.1389,1.434,5,0.0,87.5,0.0,0.0,4.2,8.3,0.02
282,-18.969,1.0,0.0,18.919,3,41.7,0.0,0.0,0.0,0.0,58.3,0.02
283,-0.5591,1.6738,0.0,0.1265,12,20.8,29.2,0.0,0.0,0.0,50.0,0.02
284,-5.8389,3.31,0.0,6.1699,0,0.0,100.0,0.0,0.0,0.0,0.0,0.02
285,-0.9784,3.2167,0.625,0.3126,7,4.2,83.3,0.0,0.0,4.2,8.3,0.02
286,-10.7863,7.8017,9.375,1.804,4,0.0,0.0,8.3,0.0,91.7,0.0,0.02
287,-3.2524,3.4063,0.0,3.543,1,0.0,95.8,4.2,0.0,0.0,0.0,0.02
288,-37.3033,7.1104,4.7569,32.9123,5,0.0,4.2,29.2,0.0,66.7,0.0,0.02
289,-12.5788,6.915,5.5556,7.2536,7,0.0,0.0,33.3,0.0,62.5,4.2,0.02
290,-34.9084,6.215,4.2361,31.0591,3,0.0,0.0,75.0,0.0,25.0,0.0,0.02
291,-10.8611,4.0829,0.0,11.0694,4,0.0,70.8,25.0,0.0,4.2,0.0,0.02
292,-0.5634,1.8663,0.0,0.0,15,0.0,37.5,0.0,0.0,0.0,62.5,0.02
293,-59.2568,5.8183,0.7986,58.9241,2,0.0,0.0,91.7,0.0,8.3,0.0,0.02
294,-29.43,5.7192,0.5556,29.3353,2,0.0,0.0,95.8,0.0,4.2,0.0,0.02
295,-3.9236,3.1175,0.0,4.0354,4,0.0,91.7,0.0,0.0,0.0,8.3,0.02
296,-4.2273,3.695,0.0,4.4468,3,0.0,83.3,16.7,0.0,0.0,0.0,0.02
297,-87.4476,5.0688,1.25,86.5795,2,0.0,62.5,0.0,25.0,12.5,0.0,0.02
298,-4.4686,1.0,0.0,4.5186,1,12.5,0.0,0.0,0.0,0.0,87.5,0.02
299,-2.1291,3.4092,0.0,2.37,2,0.0,91.7,0.0,4.2,0.0,4.2,0.02
300,-52.2297,6.215,4.2708,48.445,1,0.0,0.0,75.0,0.0,25.0,0.0,0.02
